Age,Number of Dependents,Latitude,Longitude,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes,Referred a Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Churn Label
68,0,34.074087,-117.605618,49474,0,16,9.43,9,94.45,1511.2,0.0,0,150.88,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1
66,0,32.827184,-116.703729,16486,0,8,1.78,7,74.5,606.55,0.0,0,14.24,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
69,0,32.85723,-117.209774,34902,0,24,30.87,15,76.1,1712.7,0.0,0,740.88,2,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
74,0,32.85723,-117.209774,34902,0,4,31.61,2,95.45,396.1,0.0,0,126.44,3,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
76,0,32.85723,-117.209774,34902,2,32,47.34,10,74.9,2303.35,0.0,0,1514.88,2,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
77,0,32.85723,-117.209774,34902,1,24,16.1,12,93.15,2231.05,0.0,0,386.4,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1
70,0,32.85723,-117.209774,34902,0,54,12.08,5,82.45,4350.1,0.0,0,652.32,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1
74,0,32.85723,-117.209774,34902,0,2,13.17,10,70.35,139.05,0.0,0,26.34,3,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
77,0,32.85723,-117.209774,34902,0,21,0.0,8,41.9,840.1,0.0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
71,0,32.85723,-117.209774,34902,0,27,0.0,13,30.75,805.1,0.0,140,0.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
79,0,32.85723,-117.209774,34902,1,11,29.54,0,19.95,214.75,0.0,0,324.94,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
66,0,32.85723,-117.209774,34902,2,55,42.82,27,85.45,4874.7,0.0,90,2355.1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
77,0,32.85723,-117.209774,34902,0,3,9.22,14,81.35,233.7,0.0,0,27.660000000000004,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
80,0,33.53604,-116.119222,17018,0,1,35.09,17,75.3,75.3,0.0,20,35.09,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
77,0,34.004379,-117.447864,63999,0,5,0.0,26,28.45,131.05,0.0,0,0.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
77,0,33.644585,-116.871544,39264,0,20,48.73,12,94.1,1782.4,0.0,80,974.6,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
72,0,33.970661,-117.255039,46214,4,5,45.76,22,74.35,334.8,0.0,0,228.8,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
80,0,33.828289,-117.201666,26357,2,27,7.02,25,75.2,1929.35,0.0,0,189.54,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
74,0,33.848733,-117.788357,36301,0,4,48.35,24,89.2,346.2,0.0,0,193.4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
68,0,33.924143,-117.79387,1408,0,1,45.81,21,85.7,85.7,0.0,0,45.81,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
78,0,33.884073,-117.732197,20893,3,65,18.39,28,105.25,6786.4,0.0,0,1195.35,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
75,0,34.420998,-119.60137,576,3,49,22.92,14,90.05,4547.25,0.0,0,1123.0800000000002,2,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
77,0,34.419203,-119.710008,31727,1,43,14.52,5,110.75,4687.9,0.0,0,624.36,2,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1
80,0,35.869626,-119.498771,1054,0,56,48.8,12,104.55,5794.65,0.0,0,2732.8,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1
75,0,36.057458,-118.591951,191,7,20,5.31,10,94.55,1899.65,0.0,0,106.2,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
69,0,35.772244,-119.209689,37280,0,2,47.47,19,89.5,161.5,0.0,0,94.94,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
74,0,35.215731,-119.57013,626,0,8,27.95,0,19.65,164.3,0.0,0,223.6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,0,33.507255,-117.029473,46171,0,52,0.0,18,49.15,2550.9,0.0,30,0.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1
69,0,32.961064,-117.134917,47224,0,2,43.99,27,49.25,91.1,0.0,0,87.98,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
72,0,32.961064,-117.134917,47224,1,33,27.78,8,94.5,3105.55,0.0,0,916.74,3,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
69,0,32.961064,-117.134917,47224,0,30,45.88,19,91.7,2758.15,0.0,0,1376.4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1
73,0,32.961064,-117.134917,47224,0,20,44.44,13,98.55,1842.8,0.0,120,888.8,3,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
65,0,36.798882,-120.019511,807,0,46,2.37,20,110.0,4874.8,0.0,0,109.02,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1
74,0,36.545322,-119.642281,26213,1,7,21.91,11,95.6,644.35,0.0,0,153.37,3,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
65,0,36.719141,-119.202677,3146,0,4,36.93,18,78.85,292.8,0.0,0,147.72,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
66,0,36.654614,-119.903674,35790,0,55,37.38,7,100.0,5509.3,0.0,100,2055.9,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1
71,0,35.930782,-121.189757,254,1,20,5.37,24,73.65,1463.5,0.0,0,107.4,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
65,0,37.7795,-122.419233,28998,0,9,48.71,15,100.5,918.6,0.0,0,438.39,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1
69,0,37.791998,-122.408653,13723,0,10,5.46,24,72.85,688.65,0.0,30,54.6,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
75,0,37.758085,-122.434801,30587,0,1,36.92,6,73.55,73.55,0.0,0,36.92,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
75,0,37.820894,-122.369725,1458,0,3,41.9,11,79.4,205.05,0.0,0,125.7,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
68,0,37.386978,-122.177746,1723,0,4,6.68,17,84.6,360.1,0.0,0,26.72,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
71,0,38.140719,-121.838298,138,0,35,20.83,19,99.05,3395.8,0.0,120,729.05,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
80,0,37.83323,-121.601461,10153,0,2,26.62,11,44.95,85.15,0.0,0,53.24,2,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
66,0,37.516791,-121.899117,46917,0,8,11.57,27,100.3,832.35,0.0,0,92.56,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
73,0,37.571748,-121.659562,75929,2,44,0.0,28,30.35,1359.7,0.0,0,0.0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
77,0,38.489789,-122.27011,63947,1,62,7.11,16,103.75,6383.35,0.0,0,440.82,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1
76,0,37.633361,-121.862395,36669,1,33,33.19,15,80.6,2656.5,0.0,0,1095.27,2,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
65,0,37.766556,-121.976784,44078,0,4,49.5,23,94.3,424.45,0.0,0,198.0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
75,0,37.685052,-121.912061,28568,1,27,10.6,23,75.5,1893.95,0.0,0,286.2,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
75,0,37.871416,-122.246597,21205,0,8,40.45,29,100.6,819.4,0.0,0,323.6,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1
68,0,37.897753,-122.279391,11889,1,3,25.77,2,88.3,273.75,0.0,0,77.31,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1
71,0,37.872902,-122.303708,8157,0,8,42.93,9,92.1,729.95,0.0,0,343.44,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1
74,0,37.946617,-122.563571,12010,0,14,11.31,24,90.45,1266.1,0.0,0,158.34,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
77,0,38.010092,-122.689442,1025,0,12,0.0,10,43.65,526.95,0.0,0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1
73,0,36.936228,-121.785559,4753,0,13,40.37,21,74.3,940.35,0.0,0,524.81,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
68,0,37.03889,-121.528955,49968,0,11,3.96,27,89.7,1047.7,0.0,0,43.56,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
74,0,37.222842,-121.988727,13290,1,17,28.18,16,100.45,1622.45,0.0,0,479.06,3,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1
65,0,37.316146,-121.936285,32804,1,39,33.25,26,105.65,4284.8,0.0,0,1296.75,3,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1
73,0,37.28682,-121.723877,15798,5,11,17.25,27,104.05,1133.65,0.0,0,189.75,3,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
74,0,38.358464,-120.579304,21,1,3,3.29,9,80.4,224.05,0.0,0,9.87,2,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
80,0,38.085839,-120.37855,2144,0,21,34.62,14,60.05,1236.15,0.0,0,727.02,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
76,0,33.141265,-116.967221,48690,0,16,38.75,16,96.15,1529.2,0.0,0,620.0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
73,0,33.840524,-118.148403,30173,0,46,6.13,30,95.25,4424.2,0.0,0,281.98,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1
70,0,38.493888,-122.777141,476,1,68,24.13,24,89.6,6127.6,0.0,0,1640.84,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
75,0,39.12334,-122.838198,2223,1,7,13.63,27,89.5,676.7,0.0,0,95.41,2,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
74,0,40.166028,-123.584144,261,1,15,45.25,22,85.6,1345.55,0.0,0,678.75,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
76,0,40.825486,-124.049485,1689,0,16,19.18,22,86.6,1281.0,0.0,0,306.88,3,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
75,0,40.665952,-124.240051,1447,0,1,29.68,18,69.25,69.25,0.0,0,29.68,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
74,0,40.485849,-124.163234,3284,0,1,0.0,5,25.2,25.2,0.0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
73,0,38.544002,-121.685559,648,0,13,19.03,24,95.05,1290.0,0.0,0,247.39,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
69,0,38.672638,-121.147403,51855,0,1,20.06,24,79.2,79.2,0.0,0,20.06,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
75,0,38.674276,-121.961866,844,1,34,2.88,4,94.25,3217.55,0.0,0,97.92,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
65,0,38.833554,-121.498102,901,0,4,12.68,10,99.8,442.85,0.0,0,50.72,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1
77,0,38.984756,-121.345074,1219,0,2,19.27,18,93.85,170.85,0.0,0,38.54,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
67,0,39.043387,-121.409837,3600,0,9,30.8,18,84.4,732.5,0.0,0,277.2,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
78,0,38.591134,-121.161585,299,0,5,42.33,9,75.55,349.65,0.0,0,211.65,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
65,0,40.171312,-121.120605,86,0,22,40.18,8,96.7,2082.95,0.0,100,883.96,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
74,0,39.381174,-121.21191,614,0,19,39.97,9,88.2,1775.8,0.0,0,759.43,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
70,0,40.077028,-121.494168,1351,0,15,46.38,19,75.65,1146.65,0.0,0,695.7,3,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
69,0,39.099204,-121.137962,17922,0,1,11.34,20,74.7,74.7,0.0,0,11.34,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
76,0,39.333737,-120.858667,17269,0,1,0.0,26,25.8,25.8,0.0,20,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
71,0,33.141265,-116.967221,48690,0,10,41.37,14,95.35,898.35,0.0,0,413.7,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
76,0,33.362575,-117.299644,42239,0,3,30.14,6,45.0,127.1,0.0,10,90.42,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,0,40.704293,-122.803899,1845,1,12,6.97,19,80.45,950.2,0.0,0,83.64,2,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
74,0,40.582399,-122.195512,4931,0,2,6.51,11,74.7,165.4,0.0,0,13.02,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
77,0,40.923558,-122.059933,459,0,1,49.6,20,88.8,88.8,0.0,10,49.6,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
76,0,32.957195,-117.202542,28201,1,13,1.47,5,89.05,1169.35,0.0,0,19.11,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
77,0,32.957195,-117.202542,28201,0,23,31.17,23,94.75,2293.6,0.0,0,716.9100000000001,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
80,0,32.957195,-117.202542,28201,1,17,36.82,6,85.35,1463.45,0.0,0,625.94,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
68,0,32.957195,-117.202542,28201,0,17,40.93,2,45.05,770.6,0.0,0,695.81,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
79,0,32.957195,-117.202542,28201,0,42,9.53,17,84.65,3541.35,0.0,0,400.26,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
65,0,32.957195,-117.202542,28201,0,1,42.3,16,79.1,79.1,0.0,0,42.3,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
68,0,32.898613,-117.202937,4258,0,1,39.78,12,50.15,50.15,0.0,0,39.78,2,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
72,0,33.86532,-118.396336,18693,0,1,34.51,15,69.6,69.6,0.0,0,34.51,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
66,0,33.845706,-118.012204,44442,0,41,27.95,23,113.2,4689.5,0.0,0,1145.95,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1
68,0,33.874224,-117.993368,33528,0,13,26.11,4,90.5,1201.15,29.84,140,339.43,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
69,0,33.781086,-118.199049,63136,1,32,5.99,23,85.0,2642.05,49.57,0,191.68,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
76,0,34.110444,-118.156957,23984,1,32,49.6,10,85.3,2661.1,0.0,0,1587.2,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
70,0,34.167926,-118.267539,21990,1,57,0.0,3,44.85,2572.95,12.07,0,0.0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1
71,0,34.136306,-118.26036,17015,0,1,15.28,14,45.1,45.1,0.0,0,15.28,2,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75,0,34.200175,-118.540958,68018,0,1,0.0,26,43.3,43.3,0.0,0,0.0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
67,0,34.321621,-118.399841,81986,0,38,26.1,27,57.15,2250.65,0.0,0,991.8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1
