Age,Number of Dependents,Latitude,Longitude,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes,Referred a Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Churn Label,Cluster
69,0,38.421458,-122.365048,2873,2,23,45.83,0,20.75,485.2,37.64,0,1054.09,5,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
73,0,37.954089,-121.329761,16357,8,14,45.76,0,19.65,228.65,0.0,0,640.64,5,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
67,0,38.550722,-121.457314,14966,0,6,2.03,0,19.5,106.8,0.0,0,12.18,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
77,0,34.015217,-118.109962,62425,0,72,28.99,0,25.0,1802.55,28.93,0,2087.28,5,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
66,0,34.269449,-118.768471,64802,0,72,2.37,0,25.1,1789.9,0.0,0,170.64,5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
79,0,37.375816,-119.739935,1968,0,50,31.43,0,25.2,1306.3,0.0,0,1571.5,3,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
68,0,36.545353,-119.338535,306,5,61,19.14,0,25.0,1501.75,0.0,0,1167.54,3,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
65,0,36.624338,-121.615669,13027,5,72,8.68,0,24.3,1778.7,0.0,0,624.96,5,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
80,0,37.654436,-122.426468,60599,0,2,7.03,0,19.2,37.2,0.0,0,14.06,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
65,0,37.787186,-122.14633,24518,0,4,41.98,0,20.05,91.45,0.0,0,167.92,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
78,0,38.681651,-122.130569,262,0,24,18.39,0,20.3,459.95,0.0,0,441.36,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
73,0,38.349195,-121.902943,171,0,67,14.69,0,25.1,1672.15,0.0,0,984.23,3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
73,1,38.660442,-121.346321,20993,8,68,35.14,0,19.5,1193.55,0.0,0,2389.52,3,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
65,0,34.035849,-118.503508,11509,7,67,49.94,0,20.05,1263.05,43.66,0,3345.98,5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
67,0,34.502432,-118.41459,40077,0,51,3.11,0,25.0,1260.7,0.0,0,158.61,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
79,0,33.25283,-116.986079,14575,0,71,4.75,0,24.65,1766.75,0.0,0,337.25,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
73,0,33.17494,-117.242761,62036,2,70,15.9,0,19.55,1462.05,0.0,0,1113.0,3,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
76,0,33.667145,-117.732135,6301,0,64,29.43,0,25.65,1740.8,0.0,0,1883.52,5,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
69,0,36.878709,-119.7645,45087,0,71,22.19,0,24.85,1901.0,0.0,0,1575.49,5,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
79,0,35.930782,-121.189757,254,0,32,25.89,0,19.8,587.7,0.0,0,828.48,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
79,0,38.749466,-121.184196,20675,0,64,4.99,0,20.05,1198.05,0.0,0,319.36,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
77,1,38.445939,-121.496855,9063,5,71,32.12,0,19.8,1388.45,0.0,0,2280.52,4,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
67,0,40.946785,-121.719489,4552,0,69,20.62,0,20.3,1356.3,0.0,0,1422.78,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
79,0,39.786755,-120.445626,4236,5,45,44.91,0,24.7,1174.35,0.0,0,2020.95,4,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
69,0,34.078991,-118.263804,73686,5,22,15.27,0,25.6,548.8,0.0,0,335.94,4,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
79,0,33.936291,-118.332639,27778,1,53,19.03,0,25.1,1275.6,0.0,0,1008.59,3,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
73,0,33.840399,-118.353714,41979,0,33,3.15,0,24.9,847.8,0.0,0,103.95,4,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
79,0,32.730264,-116.950963,7863,3,9,22.79,0,19.85,183.15,0.0,0,205.11,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
79,0,33.782955,-118.026456,15878,0,21,23.23,0,20.5,429.55,0.0,0,487.83,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
80,0,37.04584,-118.397236,13309,0,72,26.01,0,25.4,1809.35,0.0,0,1872.72,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
65,0,36.5276,-119.865999,5446,0,38,4.09,0,20.2,735.9,0.0,0,155.42,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
79,0,37.027663,-119.69056,1125,8,28,25.57,0,25.7,734.6,0.0,0,715.96,4,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
74,0,37.794487,-122.42227,56330,4,44,1.89,0,19.35,847.25,0.0,0,83.16,5,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
80,0,37.774633,-122.274434,58555,3,71,37.25,0,25.45,1789.65,0.0,0,2644.75,5,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
66,0,37.942551,-122.491642,6448,0,51,47.46,0,19.6,967.9,0.0,0,2420.46,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
77,0,37.03889,-121.528955,49968,1,37,25.35,0,19.6,727.8,0.0,0,937.95,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
69,1,37.277592,-121.986477,13481,9,64,37.09,0,24.4,1548.65,0.0,0,2373.76,3,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
68,0,37.750778,-121.13238,12646,3,54,23.94,0,18.95,1031.1,0.0,0,1292.76,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
77,0,40.913192,-123.06597,734,0,18,37.53,0,20.35,369.6,0.0,0,675.54,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
70,0,33.936291,-118.332639,27778,9,72,8.48,0,25.7,1937.4,0.0,0,610.5600000000001,3,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
66,0,33.384345,-117.072619,1831,0,68,10.48,0,20.0,1396.0,0.0,0,712.64,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
29,0,34.066303,-118.435479,44150,0,1,33.58,0,20.15,20.15,0.0,0,33.58,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
30,0,33.956445,-118.358634,37527,0,5,34.26,0,21.05,113.85,0.0,0,171.29999999999998,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
51,0,34.057256,-117.667677,54254,0,59,26.63,0,19.35,1099.6,14.22,0,1571.1699999999998,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
59,0,32.85723,-117.209774,34902,0,1,36.63,0,19.9,19.9,0.0,0,36.63,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
52,0,32.85723,-117.209774,34902,0,1,14.17,0,19.6,19.6,0.0,0,14.17,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
22,0,34.667815,-117.536183,18980,3,61,46.27,0,19.4,1182.55,0.0,0,2822.4700000000003,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
48,0,33.830209,-117.906099,68802,1,12,19.48,0,19.0,233.55,0.0,0,233.76,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
27,0,34.110124,-119.100972,25634,0,7,16.04,0,20.0,137.6,0.0,0,112.28,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,0,36.217864,-120.080117,6918,2,2,15.14,0,19.85,35.9,0.0,0,30.28,3,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
27,0,32.961064,-117.134917,47224,0,1,38.44,0,19.55,19.55,0.0,0,38.44,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
45,0,34.445239,-117.894868,1613,0,1,49.51,0,19.9,19.9,0.0,0,49.51,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
59,0,36.833002,-119.82947,36274,1,12,37.65,0,19.8,229.6,0.0,0,451.8,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
53,0,37.674002,-122.076796,60274,0,7,9.14,0,19.25,112.3,0.0,0,63.98,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
50,0,38.326215,-122.718742,7936,0,1,6.08,0,19.65,19.65,0.0,0,6.08,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
32,0,38.41935,-120.469545,2198,0,1,31.77,0,19.85,19.85,0.0,0,31.77,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
47,0,38.468893,-122.580539,25718,0,15,33.14,0,19.4,289.3,0.0,0,497.1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,0,39.134075,-123.23422,30988,0,6,41.16,10,44.75,270.95,0.0,10,246.96,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,0,40.342928,-124.063329,82,0,1,48.96,0,19.45,19.45,0.0,0,48.96,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
34,0,40.7666,-123.80458,155,0,4,12.43,0,20.35,76.35,0.0,0,49.72,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
35,0,41.950683,-124.097094,2020,0,1,40.51,0,20.15,20.15,0.0,0,40.51,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
53,0,38.542532,-121.378826,38818,0,1,15.91,0,20.55,20.55,0.0,0,15.91,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44,0,38.931425,-121.946081,19,1,8,46.13,0,19.75,145.0,0.0,0,369.04,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
54,0,34.074572,-118.831181,19630,0,1,32.45,0,19.5,19.5,0.0,0,32.45,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
39,0,33.801869,-117.995068,29694,0,18,8.95,0,20.15,390.85,0.0,0,161.1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
35,0,33.887676,-118.127289,72893,0,4,37.66,0,20.35,77.5,0.0,0,150.64,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
57,0,34.182378,-118.262922,9864,0,1,12.0,0,20.05,20.05,0.0,0,12.0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,0,34.207295,-118.400022,57146,1,1,16.66,0,21.0,21.0,0.0,0,16.66,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
45,0,34.102119,-117.815532,33878,1,31,30.07,0,19.55,658.95,0.0,0,932.17,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
55,0,32.578103,-117.012975,68776,0,1,13.27,0,20.2,20.2,0.0,0,13.27,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
42,0,34.559882,-115.637164,42,0,1,21.59,0,20.15,20.15,0.0,0,21.59,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
58,0,34.030915,-117.273201,52202,0,1,25.62,0,19.3,19.3,0.0,0,25.62,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
52,0,37.684694,-122.40712,3635,0,1,3.14,0,19.4,19.4,0.0,0,3.14,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
62,0,37.454924,-122.203168,6876,0,25,5.57,0,25.3,676.35,0.0,0,139.25,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
24,0,37.516791,-121.899117,46917,0,1,5.36,0,19.6,19.6,0.0,0,5.36,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
43,3,37.83726,-122.287648,24589,0,1,11.91,0,19.75,19.75,0.0,0,11.91,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
19,0,37.031404,-121.981865,8365,0,1,40.48,0,20.95,20.95,0.0,0,40.48,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
54,0,37.186141,-121.843554,37090,0,15,39.84,0,19.75,297.3,0.0,0,597.6,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,0,37.422961,-120.765493,10159,0,1,26.12,0,20.5,20.5,0.0,0,26.12,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
41,0,38.803731,-121.043799,1173,0,3,24.63,0,19.75,58.85,0.0,0,73.89,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,0,39.273096,-122.050763,7503,0,1,9.66,0,19.8,19.8,0.0,0,9.66,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
33,0,33.362575,-117.299644,42239,0,1,16.81,0,20.1,20.1,0.0,0,16.81,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
35,3,33.885811,-118.206459,51387,1,11,29.01,0,19.25,180.3,0.0,0,319.11,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
54,0,34.150354,-118.518292,27614,0,1,15.51,0,20.9,20.9,0.0,0,15.51,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
35,0,34.147149,-118.463365,22085,0,16,5.74,0,19.7,342.4,0.0,0,91.84,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
36,0,33.362575,-117.299644,42239,0,4,2.01,0,20.95,85.5,0.0,0,8.04,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37,0,33.254497,-117.285879,46893,0,9,8.91,0,20.25,178.5,0.0,0,80.19,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
63,0,33.017518,-117.118456,20046,0,1,40.83,0,20.1,20.1,0.0,0,40.83,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
30,3,33.889605,-115.257009,964,0,20,22.78,0,19.4,374.5,0.0,0,455.6,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
60,0,33.763678,-116.429928,12465,0,2,24.71,0,20.65,38.7,0.0,0,49.42,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
56,0,34.142747,-117.300864,24644,0,2,15.79,0,19.3,28.3,0.0,0,31.58,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
41,0,34.432843,-118.730106,1459,1,3,37.61,0,20.55,51.15,0.0,0,112.83,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
61,0,36.303666,-119.825657,30419,0,25,19.75,0,24.75,692.1,0.0,0,493.75,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
21,0,35.449881,-118.841442,53481,0,1,20.26,0,24.05,24.05,0.0,0,20.26,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
47,3,34.866032,-120.536546,210,0,1,34.57,0,20.5,20.5,0.0,0,34.57,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
21,0,34.712708,-117.889656,57794,0,1,29.33,0,19.75,19.75,0.0,0,29.33,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
38,0,36.523619,-119.386868,24206,0,1,45.49,0,20.2,20.2,0.0,0,45.49,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
64,0,37.223,-119.001021,642,0,1,10.71,0,20.25,20.25,0.0,0,10.71,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
59,0,36.618337,-121.926417,15449,0,9,49.74,0,18.95,185.6,0.0,0,447.66,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
38,0,38.013825,-122.039144,36186,0,3,13.28,0,19.6,59.75,0.0,0,39.84,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
19,0,37.639215,-122.037554,72993,1,56,13.2,0,25.15,1327.15,0.0,0,739.1999999999999,3,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
35,0,37.943087,-122.72379,1573,0,1,34.79,0,19.1,19.1,0.0,0,34.79,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
24,0,37.974498,-121.319568,30476,0,3,25.75,0,19.85,63.75,0.0,0,77.25,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
22,0,38.128087,-121.4078,22073,0,15,45.84,0,25.4,399.6,0.0,0,687.6,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
21,0,38.192608,-120.957842,304,0,1,15.73,0,20.9,20.9,0.0,0,15.73,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
