Age,Number of Dependents,Latitude,Longitude,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Gender_Male,Under 30_Yes,Senior Citizen_Yes,Married_Yes,Dependents_Yes,Referred a Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet Service,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check
39,2,33.823943,-118.111335,37417,6,30,47.21,0,25.1,789.55,15.41,0,1416.3,3,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
20,1,33.976328,-117.319786,48649,0,6,17.53,0,19.55,128.6,0.0,0,105.18,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,0,37.573633,-122.455167,38885,3,12,25.09,17,78.85,876.75,0.0,0,301.08,3,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0
46,1,35.358953,-118.527064,1022,0,6,27.78,0,19.7,111.65,0.0,0,166.68,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,0,34.146957,-118.432138,29387,1,68,7.87,4,84.7,5711.05,0.0,0,535.16,3,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
77,0,37.290606,-119.216328,52,1,50,40.9,8,105.05,5163.3,0.0,0,2045.0,4,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0
71,0,33.940884,-118.128628,40152,9,64,16.33,10,111.6,7099.0,0.0,0,1045.12,4,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0
30,0,37.680844,-122.48131,63337,10,62,15.06,82,101.35,6164.7,0.0,0,933.72,5,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0
30,0,37.581496,-119.972762,433,1,19,45.37,52,89.1,1620.8,0.0,0,862.03,5,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
54,0,38.047746,-121.030499,3148,0,69,17.74,0,19.3,1447.9,0.0,0,1224.06,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
29,0,40.531257,-122.148139,830,0,16,48.45,59,49.45,799.0,0.0,0,775.2,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
36,0,33.290907,-117.202895,3849,0,54,7.64,3,79.85,4308.25,0.0,0,412.56,4,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
78,0,34.057496,-118.413959,2527,0,23,0.0,2,34.65,768.45,0.0,0,0.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
22,0,32.948262,-117.256086,13945,0,56,35.59,69,73.85,4092.85,0.0,0,1993.04,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
79,0,37.454924,-122.203168,6876,0,28,28.14,10,103.3,2890.65,0.0,0,787.9200000000001,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0
36,0,40.274302,-124.210902,300,0,26,14.3,20,83.95,2254.2,0.0,0,371.8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
46,0,32.827184,-116.703729,16486,0,63,18.05,11,71.5,4576.3,0.0,70,1137.15,3,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0
80,0,34.187599,-118.387125,45358,0,1,15.24,14,45.1,45.1,0.0,0,15.24,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,0,35.383937,-119.020428,12963,0,5,48.49,85,84.0,424.75,0.0,0,242.45,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
68,3,33.362575,-117.299644,42239,1,4,42.13,52,46.0,181.6,0.0,0,168.52,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,0,37.284265,-121.827673,57748,0,2,26.05,2,94.95,178.1,0.0,0,52.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
33,0,33.936827,-118.359824,28680,10,27,9.01,5,48.7,1421.75,0.0,0,243.27,3,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
22,0,38.264262,-120.515133,1692,0,7,26.76,46,44.65,322.5,0.0,0,187.32,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
73,0,38.883224,-121.15918,6096,0,2,0.0,13,30.4,78.65,0.0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
73,0,38.921333,-120.897718,1140,0,18,47.34,7,58.4,964.9,0.0,0,852.1200000000001,4,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0
55,1,33.617108,-117.253349,19368,0,69,8.46,21,99.35,6856.45,0.0,0,583.74,4,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
47,0,33.22784,-117.200024,44692,0,23,0.0,14,44.95,996.85,25.84,40,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
38,0,32.64164,-116.985026,12884,0,12,13.88,8,94.55,1173.55,0.0,0,166.56,5,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
44,0,38.112166,-122.634384,24741,6,24,35.86,0,20.4,482.8,0.0,0,860.64,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
26,0,33.674583,-114.71612,24659,0,27,39.67,59,76.1,2093.4,30.14,0,1071.09,3,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
43,0,35.339796,-119.023552,44588,0,38,43.19,0,20.3,743.05,0.0,0,1641.2199999999998,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
63,0,34.294142,-118.603883,35325,0,43,34.0,11,75.2,3198.6,0.0,0,1462.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
58,0,33.79499,-118.065591,21343,4,52,0.0,8,35.45,1958.95,0.0,0,0.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
41,0,37.996462,-122.293716,16717,0,1,5.43,18,86.6,86.6,0.0,0,5.43,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
43,2,33.887676,-118.127289,72893,3,57,12.26,0,19.75,1272.05,0.0,0,698.8199999999999,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0,37.7795,-122.419233,28998,0,3,20.37,17,45.45,141.7,0.0,0,61.11,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42,0,37.304681,-121.809955,37127,1,17,17.71,13,92.55,1515.1,0.0,0,301.07,3,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0
47,0,33.323705,-116.626907,1205,5,38,0.0,25,60.0,2193.2,0.0,0,0.0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0
63,1,32.827238,-117.089287,30206,1,72,31.83,14,116.85,8477.7,0.0,0,2291.76,3,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0
39,0,32.898613,-117.202937,4258,0,43,49.64,27,101.4,4528.0,0.0,0,2134.52,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0
64,0,34.177267,-118.31003,11517,0,50,40.83,21,93.5,4747.5,0.0,0,2041.5,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0
65,0,36.125529,-120.864443,521,1,36,24.54,5,85.25,3132.75,0.0,0,883.4399999999999,2,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
30,0,37.609095,-121.263381,274,0,60,22.88,48,104.95,6236.75,0.0,0,1372.8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0
49,0,37.945288,-122.383941,28450,4,62,8.91,0,23.65,1416.75,0.0,0,552.42,4,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,3,37.921137,-122.657562,781,0,41,38.94,28,45.2,1841.9,0.0,0,1596.54,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,0,38.735789,-119.85798,957,4,68,11.94,3,70.95,4741.45,0.0,0,811.92,3,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0
57,0,36.554618,-121.922239,2966,1,1,18.84,19,71.0,71.0,0.0,0,18.84,2,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,0,33.4725,-117.584273,15297,0,69,1.85,13,104.0,7028.5,0.0,0,127.65,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0
49,0,37.639029,-120.964772,27135,0,1,19.98,5,79.25,79.25,0.0,0,19.98,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
26,0,37.04584,-118.397236,13309,7,72,28.59,58,97.7,6869.7,0.0,0,2058.48,5,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0
23,0,33.771612,-118.143866,19034,0,7,18.83,26,85.2,602.55,0.0,0,131.81,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0
46,0,37.57028,-122.365778,40346,0,9,29.7,17,83.3,803.3,0.0,0,267.3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
58,0,36.993666,-119.348267,2633,1,50,29.43,14,108.55,5610.7,0.0,0,1471.5,2,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0
80,1,39.657228,-121.37778,1279,7,71,48.59,15,69.2,4982.5,0.0,0,3449.8900000000003,4,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0
35,0,40.363446,-123.835041,400,0,12,0.0,6,34.0,442.45,0.0,0,0.0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
58,0,36.460611,-121.852507,13121,0,1,1.28,27,50.8,50.8,0.0,0,1.28,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,1,37.916648,-122.008483,26022,0,13,19.17,59,52.1,670.65,0.0,0,249.21000000000004,3,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
24,1,35.886767,-120.608661,2666,5,41,16.02,0,20.0,879.8,0.0,0,656.8199999999999,3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
19,0,34.098275,-117.967399,76890,0,51,43.79,82,111.5,5703.25,0.0,0,2233.29,4,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
65,0,37.316146,-121.936285,32804,1,39,33.25,26,105.65,4284.8,0.0,0,1296.75,3,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
34,0,40.94338,-123.831799,1584,0,2,39.5,26,45.25,74.2,0.0,0,79.0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
51,1,34.037037,-118.705803,11,0,72,24.95,13,114.45,8100.55,0.0,0,1796.4,3,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
32,0,39.681488,-121.83721,32848,0,1,39.3,26,51.25,51.25,0.0,0,39.3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
38,2,34.122671,-118.112911,13158,0,32,16.94,0,20.5,696.8,0.0,0,542.08,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
26,0,39.227434,-120.091806,1943,1,13,43.56,52,94.1,1215.6,0.0,0,566.28,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
47,0,33.762759,-116.324817,19702,1,26,15.37,11,90.8,2361.8,0.0,0,399.62,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0
31,0,37.716186,-121.025836,26055,0,12,2.57,25,84.6,1017.35,0.0,0,30.84,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
25,3,34.146635,-118.139225,16812,0,13,6.18,59,44.8,559.2,37.49,90,80.34,3,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,33.833686,-117.513063,21911,0,11,17.12,0,19.55,223.15,26.32,0,188.32,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
71,0,37.394411,-120.127262,986,1,43,4.59,5,94.3,3953.15,0.0,0,197.37,3,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0
42,2,32.785165,-116.862648,40995,7,5,17.37,15,64.4,316.9,0.0,0,86.85000000000001,3,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
42,0,37.100948,-120.270136,19391,0,1,28.18,0,20.25,20.25,0.0,0,28.18,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
37,3,35.38381,-119.730885,302,3,53,33.31,0,25.55,1336.1,37.37,0,1765.43,3,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
50,0,37.730269,-119.055813,618,0,66,45.54,0,19.7,1253.8,0.0,0,3005.64,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0,39.467828,-120.841386,118,0,2,15.83,0,20.25,36.8,0.0,0,31.66,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,0,34.291273,-118.505104,48867,5,72,0.0,47,55.45,4179.2,0.0,0,0.0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
75,0,37.290606,-119.216328,52,6,30,33.48,22,105.7,3181.8,0.0,0,1004.4,5,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
43,2,35.140938,-119.051348,25126,0,37,1.6,11,95.25,3314.15,0.0,0,59.2,4,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0
58,0,37.394411,-120.127262,986,1,67,11.74,0,25.6,1784.9,0.0,0,786.58,3,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
23,0,32.790282,-115.689559,1632,4,22,4.01,53,83.3,1845.9,0.0,0,88.22,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
53,0,34.167465,-118.165327,27891,0,3,39.38,23,69.65,220.1,0.0,0,118.14,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,3,33.001813,-117.263628,12173,4,51,19.9,59,90.15,4554.85,0.0,0,1014.9,3,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0
23,0,38.325599,-122.642352,3777,0,5,26.86,71,56.15,291.45,0.0,0,134.3,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
30,2,35.869626,-119.498771,1054,1,23,34.91,30,83.75,1849.95,0.0,0,802.93,4,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
40,3,39.19514,-121.503883,38091,10,16,12.82,0,19.35,275.9,33.24,0,205.12,5,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
57,1,34.296574,-118.244839,26753,0,29,0.0,21,45.0,1242.45,12.26,0,0.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0
63,0,36.008958,-118.891593,65566,0,48,23.76,0,24.55,1203.95,36.04,0,1140.48,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
60,1,39.305545,-123.743697,2229,8,68,2.71,0,24.0,1664.3,0.0,0,184.28,4,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
49,2,34.137319,-118.029837,30028,7,72,27.93,0,25.1,1790.8,46.81,0,2010.96,3,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
42,0,37.316807,-120.855753,1960,0,15,42.83,21,79.75,1111.85,0.0,0,642.4499999999999,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
78,0,33.930199,-117.862898,34055,0,5,17.13,9,71.45,371.6,0.0,0,85.64999999999999,4,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
43,3,39.624561,-121.552866,17782,5,72,6.95,57,104.9,7559.55,0.0,0,500.4,4,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0
67,0,38.626128,-121.328011,58830,0,14,16.32,11,74.95,1036.75,39.29,0,228.48,3,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
19,3,37.739113,-122.175602,31392,6,62,15.76,59,94.95,5791.85,0.0,0,977.12,4,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0
25,0,33.902211,-117.914922,21157,1,71,3.57,52,90.4,6668.05,0.0,0,253.47,3,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
42,0,38.688764,-121.457596,14010,0,7,8.29,21,62.8,418.3,0.0,0,58.03,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
26,0,38.681651,-122.130569,262,5,42,0.0,59,25.1,1097.15,0.0,0,0.0,3,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
60,0,33.999992,-117.535395,18980,0,52,29.23,30,94.6,5025.8,0.0,0,1519.96,3,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
61,0,36.991762,-119.242874,3464,0,9,0.0,14,50.8,463.6,0.0,0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1
49,0,36.462671,-118.997291,293,0,23,16.28,2,104.05,2470.1,0.0,0,374.44000000000005,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0
37,0,33.841027,-118.078097,20890,0,23,24.04,22,75.0,1778.5,0.0,0,552.92,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
74,0,39.884395,-122.587513,263,2,10,46.5,4,86.65,856.65,0.0,0,465.0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
34,0,37.601248,-122.403099,20350,0,13,38.4,23,78.75,995.35,0.0,50,499.2,4,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0
19,2,39.783747,-120.661032,1839,10,8,13.21,0,19.5,162.15,0.0,0,105.68,5,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
77,1,38.445939,-121.496855,9063,5,71,32.12,0,19.8,1388.45,0.0,0,2280.52,4,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
54,0,33.75462,-118.071128,24180,0,39,36.93,12,81.4,3213.75,0.0,0,1440.27,4,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
53,0,37.266388,-122.26308,148,0,10,18.03,6,110.1,1043.3,0.0,0,180.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
40,0,34.559882,-115.637164,42,9,2,22.23,13,84.05,134.05,0.0,0,44.46,5,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
